goods_no,p_female,brand_name,title
5378736,0.0168,어널로이드,알파카 스트라이프 니트 폴로 셔츠 / 블랙
6106460,0.0168,아메스 월드와이드,BASIC STRIPE COLLAR TEE NAVY
6833129,0.0170,산타밀라노폴로클럽,SMPC 롱 슬리브 티셔츠 그레이스트라이프
5433678,0.0171,젝시믹스,디테처블 맨즈 기모 우븐 롱슬리브 XMK3TL1201
6849913,0.0172,산타밀라노폴로클럽,SMPC 반팔 피케 폴로셔츠 카키
5109578,0.0174,센토르,STRIPE EMBLEM PATCH T-SHIRT_NAVY
6364955,0.0174,샌드 사운드,(UNISEX) 다잉 스트라이프 헨리넥 반소매 티셔츠  블랙
5000112,0.0175,빈폴골프,UNI 소로나 반팔 편한 티셔츠 - 블랙
3604786,0.0177,매버릭,더블루프 로고 세미 유넥 루즈핏 긴팔티셔츠 화이트
4496271,0.0177,꼼파뇨,950G 피그먼트 가먼츠 절개 스웨트셔츠 스모크블랙
5360453,0.0177,다운블로우,남성PK 배색카라 긴팔티셔츠 DB6518M
1593502,0.0180,이지요가,레스피로 헤이즈티[YWE2001004G07]
3604785,0.0181,매버릭,더블루프 로고 세미 유넥 루즈핏 긴팔티셔츠 블랙
5347746,0.0182,피오팔,8SYMBOL STRIPE LONG SLEEVE TEE - BROWN
5378711,0.0183,어널로이드,스트라이프 로고 후드 / 그린
5864051,0.0183,에이치덱스,프로 머슬핏 컴프레션 탱크 (Black)
6029311,0.0183,펭귄 바이 먼싱웨어,공용 피터보기 카라 티셔츠 화이트 MR123PTS32
4214653,0.0184,어퍼스트롭 골프,[UP4010] UPST GOLF 남성 스트라이프 카라 니트 그린
5087999,0.0185,포영,Layered Sleeveless Black (MAN)
5945748,0.0185,엄브로,올라운드 스트레치 긴팔 피스테 블랙 UR121SWT22
5174018,0.0187,스컬피그,SMT25028-02 소로나 맨즈 슬리브리스 화이트
6833185,0.0187,산타밀라노폴로클럽,SMPC 롱 슬리브 티셔츠 그레이스트라이프
4760081,0.0188,그로브,CARELL STRIPE LS PIQUE SHIRT (MAN-3COLORS)
5767492,0.0188,SK나이츠,드라이핏 반팔티셔츠(WHITE_B)
6025157,0.0189,잠뱅이,[26SS] 유니) 난스판 라이트 인디고 데님 후드 아노락 HD AQ1DHD141-LB
6491065,0.0190,에이네,브이 티셔츠(올리브)
6344950,0.0191,엄브로,HBL 스트라이프 럭비 피케 반팔 티셔츠 아이보리 UR221CTS51
3383762,0.0193,스파이더,공용 슬리브 레터링 로고 후드 SPHPCNHD303UDGN
