구간,라벨,goods_no,판정,의미,p_female,브랜드,상품명
선행,남성,5408099,X,혼성(유지),0.7573,갈렉스,레트로 블록코어 카라 롱슬리브 블랙 GA5710 BK
선행,남성,5112784,F,이성 단독(제외),0.7569,포스333,Uncaged Slogan T-Shirt/Black
선행,남성,6277511,F,이성 단독(제외),0.7567,래코드,Printing Detail Longsleeve T-shirt RKTAA24614WHX
선행,남성,1976641,X,혼성(유지),0.7566,바우스트,버팔로 시그니처 그라데이션 나염 반팔티[LIME]
선행,남성,5528093,F,이성 단독(제외),0.7566,웹하우스,웹 가이 포토 후드 - 화이트
선행,남성,4328858,X,혼성(유지),0.7560,엘런아시,숲속의친구들 옆트임 오버핏 반팔 티셔츠
선행,남성,5273810,F,이성 단독(제외),0.7556,아크메드라비,PAINT EFFECT HOODIE (3 COLOR)
선행,남성,6449891,F,이성 단독(제외),0.7556,루저스클럽,슬로건 링거 반팔티셔츠 옐로우
선행,남성,3300482,F,이성 단독(제외),0.7552,노이어,수피마 코튼 럭스 티셔츠 (민트그린)
선행,남성,1347698,F,이성 단독(제외),0.7551,큐디엠엠,로고 디숄더 숏슬리브_오션블루
선행,남성,6201499,F,이성 단독(제외),0.7547,큐티에잇 가먼츠,LB All New Washed Tee (Ivory)
선행,남성,2559109,F,이성 단독(제외),0.7545,질츠,NOISES 오버핏 티셔츠 화이트/레드
선행,남성,1474688,X,혼성(유지),0.7540,펠스파브룩,30수 스트라이프 립 배색 티셔츠[OLIVE]
선행,남성,6093400,X,혼성(유지),0.7539,빈폴 멘,[Essential] 라운드 반소매 티셔츠  스카이 블루
선행,남성,811093,X,혼성(유지),0.7538,옐로우스톤,오버핏 티셔츠 Overfit T-Shirts  -YS103BK /Black
선행,남성,4756341,X,혼성(유지),0.7529,투타임즈유,공용 서울 랜드마크 티 화이트_UK0501AWHT-BLK
선행,남성,2186276,F,이성 단독(제외),0.7527,드마크,집업슬리브 언발란스 그래피티 후디 기모 레드
선행,남성,6220014,X,혼성(유지),0.7525,원헌드레드퍼센트,OHPxHARMONIA4 스프링밴드 세미오버 반팔티
선행,남성,5183235,F,이성 단독(제외),0.7521,챕터엑스,퀵 드라이 액티브 러너스 후디 (Black)
선행,남성,3585546,F,이성 단독(제외),0.7519,더블유브이프로젝트,캐치 후드 블랙 JIHD7688
선행,남성,5004381,F,이성 단독(제외),0.7513,곤니치와봉쥬르,링거 스포르팅 티(화이트/블루)
선행,남성,4748874,F,이성 단독(제외),0.7512,체이스컬트,공용 에센셜 로고 후드 티셔츠-그레이
선행,남성,1824429,F,이성 단독(제외),0.7510,크림소다랩,캠핑 클럽 후드티 그레이
선행,남성,3230851,F,이성 단독(제외),0.7509,바스틱,FAS 스크레치 티셔츠_블랙
선행,남성,4427162,X,혼성(유지),0.7507,윌리워 스튜디오,FAN-SHAPED 그래픽 후로킹 티셔츠 2 color
선행,남성,6330823,F,이성 단독(제외),0.7500,블로우,PIGMENT_NINE9LIVES T-SHIRT [DEEP NAVY]
선행,남성,4244337,X,혼성(유지),0.7496,아르메데스,[2PACK] 아트그래픽 기능성 반팔 티셔츠 (811)
선행,남성,6810392,F,이성 단독(제외),0.7494,에잇세컨즈,데일리 스웨트 슬리브리스  화이트
선행,남성,771271,F,이성 단독(제외),0.7490,레이든,HIGHEND LAYGOM S/S TEE-BLACK
선행,남성,5739189,X,혼성(유지),0.7489,라코스테,남성 소프트브랜딩 스몰크록 반팔 티셔츠 TH2739-55N E9F
선행,남성,4894605,F,이성 단독(제외),0.7487,제뉴즈,토즈 스트라이프 하프 집업 - 아이보리
선행,남성,1459072,F,이성 단독(제외),0.7483,웨이브건,크로스 리플렉티브 티셔츠 애플민트
선행,남성,5402488,F,이성 단독(제외),0.7482,아크메드라비,BASIC LOGO NAPPING HOODIE ZIP UP (6 COLOR)
선행,남성,2628155,F,이성 단독(제외),0.7469,폴루션,Board Half T-shirt(PUNCMTS008_WH)
선행,남성,4876574,F,이성 단독(제외),0.7468,쿠톤,스티플리 오버핏 헤비 반팔티셔츠
