goods_no,p_female,brand_name,title
4862261,0.9946,더바이닐하우스,VINTAGE WOMAN TEE WHITE
5244690,0.9946,유라이프지,나잇글로우 우먼 오버핏 트랙 브이넥 반팔티 4 Color [ULZV_5613]
6024226,0.9946,디스커버리 익스페디션,여성 프레시벤트 네이처 크롭 반팔티셔츠 (D/WINE)
6139806,0.9946,세르지오 타키니,W 쿨매치 그래픽 반팔 티셔츠 (White)
6160817,0.9946,르꼬끄,유니 냉감 피케 폴로 티셔츠 - 블랙 QR123ETS34
6350104,0.9946,살로몬,파로 숏 슬리브 W_LD0070100
6390240,0.9946,유라이프지,미어 케이블 버튼 카라 반팔 니트 4 Color [ULSK_1001]
6604989,0.9946,잠뱅이,[26SS] 유니) 분또 프린트 오버핏 반팔 티셔츠 AQ2WTS447-OG
5293332,0.9945,케이스위스,[UNISEX] 클래식66 플레이서클 반팔 티_1KSTSFU904NA
6101654,0.9945,디스커버리 익스페디션,여성 프레시벤트 에어닷 우븐 반팔티셔츠 (BLACK)
6134410,0.9945,러프 애슬레틱,에어로 쿨 티셔츠 - white
6139809,0.9945,세르지오 타키니,W 쿨매치 그래픽 반팔 티셔츠 (Navy)
6476470,0.9945,체이스컬트,공용 쿨 라운드 반팔 티셔츠-FCZU5808E0X
6261259,0.9944,게스,2color 베이직 반팔 티셔츠 OQ2K5450
4092735,0.9943,게인스보로,[쿨코튼] 오리지날 스타로고 티셔츠_화이트/실버
4160922,0.9943,게인스보로,3D 스타로고 티셔츠_블랙/실버
4191087,0.9943,더마일,MILES 98 RAW CREW [WHITE/RED]
6017552,0.9943,다운블로우,여성 스포츠 골프웨어 라인 풀집업 베스트 DB6519W
6017900,0.9943,디스커버리 익스페디션,유니 프레시벤트 콜라주 레터링 반팔티셔츠 (WHITE)
6134946,0.9943,스노우피크 어패럴,퀵드라이 여성 베이직 반팔 티셔츠 (S26MWTTS13) Pink
6379957,0.9943,노스페이스,NT7US07L 화이트라벨 와일드플라워 반팔 티 OATMEAL
5070580,0.9942,다운블로우,여성 스포츠 소프트 텐션 크롭 반팔 (패드탈착형) DBC 1903W
5876989,0.9942,디스커버리 익스페디션,여성 프레시벤트 절개라인 반팔티셔츠 (WHITE)
6070877,0.9942,스노우피크 어패럴,소로나 여성 트로피컬 반팔 티셔츠 (S26MWFTS71) Sand Beige
6318396,0.9942,본투윈,W BRN TANK BRA TOP [NAVY]
5930564,0.9941,디스커버리 익스페디션,여성 프레시벤트 에센셜 링거티셔츠 (WHITE)
6606780,0.9941,낫유즈얼,토마토 바스켓 오버핏 반팔티 4color
4782558,0.9940,세르지오 타키니,W 레이프레쉬 다마린도 피케 반팔 티셔츠 (L.Pink)
5039451,0.9940,체이스컬트,공용 가슴 그래픽 반팔 티셔츠-핑크
5126987,0.9940,원헌드레드퍼센트,OHPxGOODD 팝콘 세미오버 반팔티
6142732,0.9940,휠라,DRY 레이피케 헨리넥 반팔티(FS262RS11U004191)
6408234,0.9939,케이스위스,60th 쉴드 플라워 그래픽 티_1KSTSMV906GY
5960201,0.9938,지블랙,베어풋 그래피티  7부 티셔츠(WHITE)
6084713,0.9938,그루브라임,여성 레터링 로고 반팔 티셔츠 (5COLOR) (LRBMCTR502M)
6511407,0.9938,9999아카이브,Deconstructed Slub Tee
4161205,0.9937,유에프씨 스포츠,UFC 웨이브 슬림 크롭핏 반팔 티셔츠 차콜 U4SSV2214CH
5954903,0.9937,지블랙,제니스 블랙 ARCHIVE 7부 티셔츠(CORAL RED)
6055043,0.9937,디스커버리 익스페디션,여성 프레시벤트 네이처 세미크롭 반팔티셔츠 (D/NAVY)
6169244,0.9937,더블유브이프로젝트,박시 크롭 반팔티셔츠 브릭레드 MMST7858
6476462,0.9937,체이스컬트,공용 쿨 라운드 반팔 티셔츠-FCZU5808E03
6058096,0.9936,언타이틀 서울,유니콘 헨리넥 슬럽 롱 슬리브 그레이
6126067,0.9936,웰터 익스페리먼트,CLIMAFLOW LONG SLEEVE T-SHIRT_DARK BEIGE
6178651,0.9936,더바이닐하우스,EARLY BIRD DIES TEE PINK
6227703,0.9936,휠라,테니스 소프트 폴리피케 카라티(FS262TS11U004472)
6296496,0.9936,지오다노,코튼스판 팬던트 링거 반팔 티셔츠(SLD) 326545 [4color]
6418476,0.9936,에버루프,꽃의 파편 반팔티6 EL
6908614,0.9936,오언더알,CAPY IN THE BATH 반팔티셔츠 (화이트)
4177606,0.9935,어뉴브로스,메이블 링거 루즈핏 반팔티셔츠 4 Color [ANSE_4501]
5880721,0.9935,디스커버리 익스페디션,여성 기능성 라운드 긴팔티셔츠 (L.Peach)
6025495,0.9935,지블랙,스타셀렉션 빅로고  오버핏 반팔 LIGHT PINK
6171209,0.9935,스노우피크 어패럴,퀵드라이 베이직 반팔 티셔츠 (S26MUTTS12) Off White
6171411,0.9935,게스,3color 브이넥 콩단추 반팔 티셔츠 OQ2K5451
6190407,0.9935,휠라,Coldwave 에센셜 소로나 반팔티(FS262RS02X012442)
3952242,0.9934,크리스첼로,(공용) 파리 티셔츠 - (화이트 20수 오버핏)
5232545,0.9934,더마일,BREAK ON CREW [WHITE]
5742780,0.9934,아크메드라비,YEAR OF THE HORSE SHORT SLEEVE T-SHIRT (3COLOR)
6139789,0.9934,세르지오 타키니,W FRESCA KNIT 스트라이프 반팔 폴로 (Navy)
6253191,0.9934,르꼬끄,유니 백그래픽 루즈핏 반팔티 - 화이트 QR223LRS52
6709091,0.9934,크림소다랩,가먼트 다잉 피그먼트 반팔 티셔츠 쉐도우 퍼플
4185600,0.9933,어뉴브로스,베이직 시그니처 물나염 반팔티 6 Color [ANSE_9801]
5968239,0.9933,지블랙,스타셀렉션 빅 로고  7부 티셔츠(NEON YELLOW)
5973736,0.9933,디스커버리 익스페디션,여성 프레시벤트 레터링 세미크롭 링거티셔츠 (BLACK)
